ticker,date,close
GOOG,2024-10-07 00:00:00,165.7
GOOG,2024-10-08 00:00:00,163.06
GOOG,2024-10-09 00:00:00,163.18
GOOG,2024-10-10 00:00:00,164.52
GOOG,2024-10-13 00:00:00,166.35
GOOG,2024-10-14 00:00:00,166.9
GOOGL,2024-10-01 00:00:00,165.86
GOOGL,2024-10-02 00:00:00,165.86
GOOGL,2024-10-03 00:00:00,167.06
GOOGL,2024-10-06 00:00:00,162.98
GOOGL,2024-10-07 00:00:00,164.38
GOOGL,2024-10-08 00:00:00,161.86
GOOGL,2024-10-09 00:00:00,162.08
GOOGL,2024-10-10 00:00:00,163.24
GOOGL,2024-10-13 00:00:00,164.96
GOOGL,2024-10-14 00:00:00,165.46
GTLS,2024-10-01 00:00:00,119.8
GTLS,2024-10-02 00:00:00,119.96
GTLS,2024-10-03 00:00:00,123.81
GTLS,2024-10-06 00:00:00,125.98
GTLS,2024-10-07 00:00:00,124.03
GTLS,2024-10-08 00:00:00,126.36
GTLS,2024-10-09 00:00:00,124.74
GTLS,2024-10-10 00:00:00,127.28
GTLS,2024-10-13 00:00:00,127.4
GTLS,2024-10-14 00:00:00,124.56
H,2024-10-01 00:00:00,150.61
H,2024-10-02 00:00:00,150.0
H,2024-10-03 00:00:00,153.69
H,2024-10-06 00:00:00,152.42
H,2024-10-07 00:00:00,152.44
H,2024-10-08 00:00:00,154.03
H,2024-10-09 00:00:00,154.23
H,2024-10-10 00:00:00,155.09
H,2024-10-13 00:00:00,152.32
H,2024-10-14 00:00:00,151.58
HDB,2024-10-01 00:00:00,62.32
HDB,2024-10-02 00:00:00,60.29
HDB,2024-10-03 00:00:00,61.01
HDB,2024-10-06 00:00:00,59.45
HDB,2024-10-07 00:00:00,60.38
HDB,2024-10-08 00:00:00,59.97
HDB,2024-10-09 00:00:00,60.73
HDB,2024-10-10 00:00:00,60.54
HDB,2024-10-13 00:00:00,61.8
HDB,2024-10-14 00:00:00,61.39
HEI,2024-10-01 00:00:00,265.63
HEI,2024-10-02 00:00:00,260.31
HEI,2024-10-03 00:00:00,261.44
HEI,2024-10-06 00:00:00,258.09
HEI,2024-10-07 00:00:00,260.0
HEI,2024-10-08 00:00:00,261.42
HEI,2024-10-09 00:00:00,258.44
HEI,2024-10-10 00:00:00,264.72
HEI,2024-10-13 00:00:00,266.19
HEI,2024-10-14 00:00:00,262.93
HEI,2024-10-15 00:00:00,265.15
HII,2024-10-01 00:00:00,261.52
HII,2024-10-02 00:00:00,257.45
HII,2024-10-03 00:00:00,258.3
HII,2024-10-06 00:00:00,256.38
HII,2024-10-07 00:00:00,257.91
HII,2024-10-08 00:00:00,258.08
HII,2024-10-09 00:00:00,252.85
HII,2024-10-10 00:00:00,259.39
HII,2024-10-13 00:00:00,260.84
HII,2024-10-14 00:00:00,259.33
HII,2024-10-15 00:00:00,260.66
HSBC,2024-10-01 00:00:00,45.05
HSBC,2024-10-02 00:00:00,45.18
HSBC,2024-10-03 00:00:00,45.86
HSBC,2024-10-06 00:00:00,45.67
HSBC,2024-10-07 00:00:00,43.92
HSBC,2024-10-08 00:00:00,44.17
HSBC,2024-10-09 00:00:00,44.28
HSBC,2024-10-10 00:00:00,44.35
HSBC,2024-10-13 00:00:00,44.36
HSBC,2024-10-14 00:00:00,43.83
ICE,2024-10-01 00:00:00,160.92
ICE,2024-10-02 00:00:00,163.26
ICE,2024-10-03 00:00:00,162.76
ICE,2024-10-06 00:00:00,159.54
ICE,2024-10-07 00:00:00,162.09
ICE,2024-10-08 00:00:00,161.74
ICE,2024-10-09 00:00:00,160.65
ICE,2024-10-10 00:00:00,162.57
ICE,2024-10-13 00:00:00,164.38
ICE,2024-10-14 00:00:00,165.18
JBHT,2024-10-01 00:00:00,168.14
JBHT,2024-10-02 00:00:00,166.73
JBHT,2024-10-03 00:00:00,164.52
JBHT,2024-10-06 00:00:00,164.22
JBHT,2024-10-07 00:00:00,165.28
JBHT,2024-10-08 00:00:00,166.09
JBHT,2024-10-09 00:00:00,165.92
JBHT,2024-10-10 00:00:00,170.72
JBHT,2024-10-13 00:00:00,175.46
JBHT,2024-10-14 00:00:00,174.65
JNJ,2024-10-01 00:00:00,161.17
JNJ,2024-10-02 00:00:00,160.5
JNJ,2024-10-03 00:00:00,160.29
JNJ,2024-10-06 00:00:00,159.53
JNJ,2024-10-07 00:00:00,159.69
JNJ,2024-10-08 00:00:00,160.65
JNJ,2024-10-09 00:00:00,160.51
JNJ,2024-10-10 00:00:00,161.46
JNJ,2024-10-13 00:00:00,161.6
JNJ,2024-10-14 00:00:00,164.1
KLAC,2024-10-01 00:00:00,777.36
KLAC,2024-10-02 00:00:00,774.56
KLAC,2024-10-03 00:00:00,787.39
KLAC,2024-10-06 00:00:00,781.67
KLAC,2024-10-07 00:00:00,783.9
KLAC,2024-10-08 00:00:00,804.63
KLAC,2024-10-09 00:00:00,797.98
KLAC,2024-10-10 00:00:00,803.73
KLAC,2024-10-13 00:00:00,829.65
KLAC,2024-10-14 00:00:00,707.72
KLAC,2024-10-15 00:00:00,682.59
KO,2024-10-01 00:00:00,71.01
KO,2024-10-02 00:00:00,70.52
KO,2024-10-03 00:00:00,70.17
KO,2024-10-06 00:00:00,69.01
KO,2024-10-07 00:00:00,69.18
KO,2024-10-08 00:00:00,69.57
KO,2024-10-09 00:00:00,69.25
KO,2024-10-10 00:00:00,69.57
KO,2024-10-13 00:00:00,70.34
KO,2024-10-14 00:00:00,70.34
LMT,2024-10-01 00:00:00,603.2
LMT,2024-10-02 00:00:00,605.82
LMT,2024-10-03 00:00:00,605.13
LMT,2024-10-06 00:00:00,605.54
LMT,2024-10-07 00:00:00,608.05
LMT,2024-10-08 00:00:00,605.11
LMT,2024-10-09 00:00:00,597.49
LMT,2024-10-10 00:00:00,604.17
LMT,2024-10-13 00:00:00,610.87
LMT,2024-10-14 00:00:00,605.0
LMT,2024-10-15 00:00:00,612.83
MDT,2024-10-01 00:00:00,89.12
MDT,2024-10-02 00:00:00,87.77
MDT,2024-10-03 00:00:00,88.26
MDT,2024-10-06 00:00:00,87.04
MDT,2024-10-07 00:00:00,88.14
MDT,2024-10-08 00:00:00,88.35
MDT,2024-10-09 00:00:00,88.85
MDT,2024-10-10 00:00:00,89.36
MDT,2024-10-13 00:00:00,90.01
MDT,2024-10-14 00:00:00,89.84
META,2024-10-01 00:00:00,572.81
META,2024-10-02 00:00:00,582.77
